ticker,sector,notes
GODREJCP,Indian Equities,GODREJCP
BHARTIARTL,Indian Equities,BHARTIARTL
UPL,Indian Equities,UPL
TCS,Indian Equities,TCS
COFORGE,Indian Equities,COFORGE
AMBER,Indian Equities,AMBER
HINDALCO,Indian Equities,HINDALCO
HINDZINC,Indian Equities,HINDZINC
MARUTI,Indian Equities,MARUTI
PETRONET,Indian Equities,PETRONET
SUZLON,Indian Equities,SUZLON
GRASIM,Indian Equities,GRASIM
TECHM,Indian Equities,TECHM
HINDPETRO,Indian Equities,HINDPETRO
UNOMINDA,Indian Equities,UNOMINDA
JSWENERGY,Indian Equities,JSWENERGY
RBLBANK,Indian Equities,RBLBANK
LICHSGFIN,Indian Equities,LICHSGFIN
IREDA,Indian Equities,IREDA
IRFC,Indian Equities,IRFC
ASHOKLEY,Indian Equities,ASHOKLEY
AUBANK,Indian Equities,AUBANK
BDL,Indian Equities,BDL
BOSCHLTD,Indian Equities,BOSCHLTD
COLPAL,Indian Equities,COLPAL
NMDC,Indian Equities,NMDC
MANKIND,Indian Equities,MANKIND
ITC,Indian Equities,ITC
NHPC,Indian Equities,NHPC
ONGC,Indian Equities,ONGC
PGEL,Indian Equities,PGEL
KOTAKBANK,Indian Equities,KOTAKBANK
LAURUSLABS,Indian Equities,LAURUSLABS
BSE,Indian Equities,BSE
M&M,Indian Equities,M&M
SBILIFE,Indian Equities,SBILIFE
BANDHANBNK,Indian Equities,BANDHANBNK
HAL,Indian Equities,HAL
ADANIENT,Indian Equities,ADANIENT
VMM,Indian Equities,VMM
INDUSTOWER,Indian Equities,INDUSTOWER
IDFCFIRSTB,Indian Equities,IDFCFIRSTB
KAYNES,Indian Equities,KAYNES
LUPIN,Indian Equities,LUPIN
ABB,Indian Equities,ABB
FORCEMOT,Indian Equities,FORCEMOT
NTPC,Indian Equities,NTPC
HINDUNILVR,Indian Equities,HINDUNILVR
ASTRAL,Indian Equities,ASTRAL
DLF,Indian Equities,DLF
PAGEIND,Indian Equities,PAGEIND
GODREJPROP,Indian Equities,GODREJPROP
POWERGRID,Indian Equities,POWERGRID
ADANIPORTS,Indian Equities,ADANIPORTS
APOLLOHOSP,Indian Equities,APOLLOHOSP
INFY,Indian Equities,INFY
BAJAJFINSV,Indian Equities,BAJAJFINSV
NESTLEIND,Indian Equities,NESTLEIND
VBL,Indian Equities,VBL
CUMMINSIND,Indian Equities,CUMMINSIND
